elevation_m,slope_deg,ndvi,rainfall_mm,soil_stability,distance_to_water_m,flood_probability
42.48,2.1,0.0574,1891.7,0.35,1367.8,0.5506
330.97,19.43,0.342,892.2,0.35,1732.4,0.2484
296.57,21.08,0.2084,739.5,0.55,48.4,0.3569
150.71,8.45,0.0372,841.0,0.2,608.7,0.2434
64.59,21.3,0.1301,1720.3,0.2,369.7,0.4112
430.88,1.69,-0.0813,2771.4,0.2,2883.0,0.3461
208.85,4.61,-0.0791,1041.8,0.8,4161.8,0.3507
459.88,3.53,0.7445,805.6,0.6,2624.6,0.2156
169.76,13.32,0.0681,1580.4,0.35,2657.7,0.3224
96.95,31.05,0.2511,2878.8,0.7,1189.0,0.3057
301.2,30.41,0.5555,613.7,0.8,2325.1,0.1723
281.87,23.18,0.5811,2657.9,0.2,4322.6,0.1873
34.14,17.69,0.2028,896.6,0.55,1766.2,0.499
37.1,18.47,-0.0624,1169.3,0.45,392.9,0.6042
307.5,20.28,0.3627,1707.5,0.55,2254.2,0.1882
404.91,26.07,0.2215,1479.3,0.7,4789.0,0.1761
418.69,39.3,-0.0157,1973.8,0.55,1246.2,0.2863
218.88,17.58,0.4227,560.4,0.2,4590.5,0.1186
339.45,2.09,0.5309,1070.5,0.2,481.6,0.3013
339.19,11.37,0.6237,2004.0,0.7,1673.5,0.2606
174.91,38.71,0.5985,1236.7,0.35,1554.8,0.1137
188.34,31.67,0.7132,2043.3,0.35,3233.7,0.1062
181.3,7.21,0.1142,2848.2,0.8,968.1,0.4383
499.99,6.2,0.1958,2385.5,0.55,3313.0,0.4096
298.62,6.17,0.0808,2109.3,0.7,3608.7,0.3525
21.85,14.57,0.6196,2911.8,0.45,3764.4,0.5944
119.58,38.62,0.6844,2721.5,0.5,1845.5,0.1577
473.57,39.38,0.3617,917.1,0.6,2519.5,0.1517
99.85,24.19,0.773,251.3,0.8,4371.8,0.1554
277.27,4.1,0.7459,2568.4,0.45,428.5,0.333
256.68,33.24,-0.0083,2740.5,0.8,4424.3,0.3566
465.24,16.6,0.2965,1184.5,0.6,4972.7,0.2532
465.41,33.57,0.55,2395.0,0.7,201.1,0.2798
458.7,18.9,0.7311,2300.6,0.8,2248.5,0.2641
127.96,33.4,0.4488,2209.0,0.6,564.8,0.2116
144.05,12.05,-0.0523,1317.5,0.8,323.4,0.4122
268.03,25.28,0.475,2183.8,0.45,2151.9,0.1744
307.4,9.62,0.3166,2026.7,0.35,2622.2,0.237
272.04,31.46,0.4076,159.0,0.8,227.2,0.2995
193.44,14.93,0.6473,1135.6,0.35,1730.6,0.1826
385.75,29.41,0.2325,228.6,0.2,4069.4,0.0821
87.54,31.17,0.3646,2116.6,0.7,4059.4,0.3436
228.84,11.74,-0.0562,678.5,0.55,1584.8,0.3302
155.04,15.93,0.7154,1472.9,0.55,3768.9,0.2206
390.42,34.63,0.2319,461.0,0.2,2190.4,0.1703
200.01,17.59,0.8565,1083.2,0.7,2486.1,0.086
259.64,32.05,0.6271,328.9,0.7,2731.9,0.1274
160.61,3.2,0.5609,988.8,0.6,841.6,0.2385
363.41,36.46,0.5149,1361.3,0.55,384.5,0.2004
318.76,14.53,0.7011,2070.3,0.55,722.5,0.1856
17.4,2.69,0.6785,1162.4,0.6,4747.8,0.558
16.19,6.14,0.3499,1175.8,0.8,3817.8,0.6152
199.02,25.98,0.1496,429.0,0.7,2500.2,0.1956
193.49,22.47,0.1618,854.8,0.8,1080.7,0.2106
499.31,8.01,0.0357,314.8,0.7,4494.4,0.2848
222.56,3.51,0.5819,2552.0,0.2,3342.5,0.2845
145.18,12.0,0.0575,2157.7,0.7,3970.5,0.3188
254.38,4.85,0.101,502.7,0.8,141.2,0.3763
401.83,22.07,0.5119,350.0,0.45,1996.8,0.1451
358.47,19.15,0.3108,1287.4,0.35,635.4,0.2177
232.92,20.69,0.0283,2504.3,0.7,3841.2,0.3568
64.52,20.11,0.7682,2511.0,0.7,1527.6,0.4257
112.74,37.9,0.4189,923.7,0.35,1260.5,0.2186
317.53,22.03,0.0252,978.2,0.35,2517.8,0.2868
77.1,26.35,0.6206,1854.9,0.55,4127.9,0.3591
14.19,1.82,0.5415,1772.6,0.5,3837.1,0.6044
249.02,25.09,0.1897,2874.3,0.8,1231.9,0.3497
403.67,16.24,0.3535,2097.0,0.7,2203.6,0.2727
303.33,12.5,0.6184,2229.2,0.2,4877.1,0.2366
65.38,14.82,0.4617,1025.4,0.8,621.4,0.3752
25.3,37.82,0.7642,1312.6,0.7,4069.3,0.4435
466.88,28.85,0.0898,562.1,0.8,2498.8,0.2217
472.62,20.22,0.8667,723.9,0.2,252.8,0.1554
140.68,23.9,0.7428,2050.3,0.45,2688.1,0.2004
441.23,29.1,0.6639,1161.2,0.6,265.3,0.1535
280.91,14.5,0.1886,1220.4,0.8,3824.4,0.2857
340.2,4.75,0.8751,1242.3,0.2,2793.6,0.3128
182.8,5.77,0.5025,1264.0,0.55,236.1,0.3576
236.87,18.28,0.5063,1595.0,0.2,4657.5,0.2238
159.27,15.72,0.5165,2543.5,0.2,2541.5,0.1994
281.46,19.0,-0.0834,1060.6,0.35,4899.7,0.2596
291.85,31.87,0.6253,2095.3,0.55,2988.6,0.1693
486.03,23.14,0.1275,248.9,0.8,860.9,0.3033
314.51,24.79,0.7412,528.5,0.5,167.5,0.2008
9.47,12.55,0.0514,2102.5,0.6,2514.1,0.7096
305.74,18.86,0.7484,2209.5,0.7,2598.2,0.1003
239.19,15.07,0.8567,1433.0,0.2,2735.9,0.1005
337.93,34.71,0.5807,2430.6,0.45,3054.3,0.1958
279.04,8.99,0.8729,963.1,0.45,3527.5,0.2158
345.12,19.56,0.3798,1725.4,0.45,1446.1,0.1944
447.88,15.78,0.2451,2341.9,0.7,1459.4,0.3057
143.82,28.57,0.2464,1382.9,0.45,3739.2,0.2174
135.57,22.48,0.1716,416.8,0.5,1219.9,0.285
334.92,21.24,0.5379,252.2,0.6,1658.2,0.1135
68.73,38.58,0.8779,558.0,0.8,2392.5,0.2361
99.73,38.56,0.2212,1973.1,0.35,3265.0,0.2191
425.17,1.49,0.8215,1311.9,0.7,4670.3,0.3369
18.17,33.45,0.688,640.3,0.45,4384.9,0.4765
53.65,39.32,0.1846,2968.4,0.8,4447.4,0.4895
67.1,20.17,0.1728,2445.6,0.2,820.8,0.3728
93.1,29.46,0.6908,1746.6,0.5,885.7,0.1844
428.07,35.88,0.727,1594.3,0.35,2010.2,0.2131
238.73,37.43,-0.0932,1212.4,0.8,3771.2,0.3223
477.02,12.08,0.6229,133.2,0.2,3466.9,0.1847
153.4,16.22,0.4025,2695.8,0.45,3454.5,0.299
319.36,37.63,0.2675,740.5,0.7,2396.1,0.0743
186.81,28.08,0.8128,2296.3,0.5,3811.7,0.193
340.17,23.83,0.6874,1624.0,0.2,399.7,0.1496
273.82,20.22,0.4727,534.6,0.2,4273.9,0.1438
220.92,27.21,0.6169,1517.6,0.8,4045.4,0.1461
228.4,2.31,0.3624,2440.1,0.55,1985.8,0.3805
408.23,29.83,0.4783,231.3,0.2,3504.9,0.0855
447.11,39.45,0.3721,932.6,0.7,3847.2,0.1779
382.91,39.13,0.5459,1319.0,0.6,2248.2,0.1947
40.12,38.57,0.7746,485.7,0.2,602.0,0.2739
496.42,15.72,0.0273,2938.3,0.55,3783.3,0.414
359.55,16.97,0.2793,766.0,0.8,1737.3,0.2579
137.82,37.5,0.625,427.2,0.6,3078.5,0.1935
120.33,2.69,0.4939,1394.7,0.55,1231.2,0.2705
22.12,17.56,0.4398,2287.7,0.55,709.3,0.6135
458.2,23.04,0.4775,2340.4,0.2,1192.2,0.2056
438.13,39.43,0.4213,1299.3,0.45,314.2,0.279
455.79,25.04,0.3272,1537.3,0.2,4708.5,0.161
335.67,31.43,0.2187,1307.3,0.7,1506.4,0.2395
120.48,9.01,0.7575,518.6,0.8,4574.6,0.2675
281.19,38.71,0.4573,488.9,0.5,1282.4,0.1236
224.89,14.84,0.4356,2505.3,0.55,1349.6,0.3099
336.84,24.12,0.7736,645.7,0.5,2402.2,0.1438
478.51,0.61,0.8372,2890.0,0.35,3736.9,0.2756
377.17,36.58,0.5956,2140.9,0.6,4576.5,0.1208
190.33,21.35,0.2593,858.5,0.8,2335.4,0.2265
401.41,28.9,0.6616,1028.7,0.5,1859.8,0.0833
110.64,5.84,0.1608,2810.8,0.6,1483.0,0.4256
98.1,9.2,0.4698,812.6,0.2,1294.1,0.269
320.85,19.62,0.0682,2405.4,0.7,708.4,0.244
273.27,7.36,0.7894,2971.9,0.55,2624.5,0.307
409.0,1.94,-0.0936,498.7,0.5,349.2,0.3571
75.51,8.75,0.356,275.3,0.8,3299.8,0.4299
205.67,0.67,0.6222,1653.6,0.45,95.5,0.3802
406.58,26.96,0.7062,2738.3,0.35,4591.1,0.1544
309.89,10.1,0.2544,2405.3,0.35,1871.5,0.318
203.01,22.6,0.8902,755.0,0.35,3272.1,0.1411
46.75,15.17,0.4527,262.7,0.55,3517.2,0.3717
41.34,33.81,0.5449,1060.7,0.35,4475.0,0.3856
450.64,27.69,0.4668,886.2,0.35,3425.3,0.1279
140.19,21.72,0.5581,620.1,0.2,88.1,0.2208
410.35,32.84,0.8289,967.9,0.5,2837.8,0.1159
424.72,27.08,0.4406,1213.2,0.7,3954.6,0.191
372.73,13.83,-0.0023,773.2,0.35,1709.6,0.2618
384.5,38.19,0.2967,2343.3,0.55,3174.3,0.2434
114.07,22.12,0.2754,638.6,0.6,437.6,0.1833
309.31,31.92,0.6131,337.9,0.7,1906.2,0.1329
194.81,14.43,-0.0085,2834.6,0.8,1806.0,0.3786
134.88,5.3,0.0874,1401.6,0.6,525.4,0.3995
298.46,31.38,0.7637,135.8,0.6,1945.1,0.1226
42.35,36.05,0.8052,2936.7,0.7,3429.7,0.4426
134.2,5.84,0.0672,900.3,0.45,2426.3,0.3494
38.46,10.07,0.1466,1912.6,0.5,2294.7,0.5834
197.85,33.66,0.2799,2600.4,0.8,1680.3,0.2755
407.74,34.38,0.8742,494.8,0.2,3020.0,0.0235
88.82,15.93,0.2191,2231.1,0.8,4839.1,0.3384
390.99,13.04,0.1803,2379.0,0.2,578.3,0.2536
272.81,27.27,0.4501,2863.7,0.8,4715.4,0.2498
104.82,31.91,0.7313,300.6,0.6,3368.2,0.1221
126.34,6.17,0.3231,1193.3,0.8,4953.6,0.3545
239.62,16.03,0.4066,2769.1,0.6,2722.8,0.3192
447.75,21.48,0.5382,346.4,0.5,3291.4,0.1254
177.5,25.88,-0.0557,2952.5,0.6,4834.4,0.2937
52.97,3.94,0.122,2265.9,0.5,2234.4,0.6329
195.57,30.89,0.4886,1551.4,0.2,4988.5,0.1055
460.27,3.43,0.7313,2217.4,0.2,1566.3,0.2654
227.67,8.27,0.3829,1480.9,0.8,3612.7,0.3062
22.34,28.43,-0.0774,1094.9,0.35,3388.9,0.5317
82.18,39.36,0.1439,605.9,0.7,1661.6,0.2341
398.88,25.19,0.0864,2006.2,0.6,155.7,0.3701
307.05,7.89,0.4922,1227.6,0.5,1036.9,0.2669
31.28,4.07,0.772,642.2,0.2,993.4,0.3917
56.98,26.83,0.3895,2901.2,0.2,2988.9,0.3549
173.96,33.82,0.5174,2459.8,0.45,4594.2,0.1615
295.08,26.88,0.2132,791.9,0.35,923.4,0.1636
209.12,5.51,0.2837,638.7,0.7,2779.0,0.2606
244.82,5.61,0.2146,1407.9,0.55,4329.0,0.375
97.56,15.36,0.4616,1993.9,0.6,3426.6,0.2697
207.82,33.6,0.3887,339.7,0.55,3981.4,0.1486
112.42,11.55,0.6807,1740.4,0.8,2753.1,0.2799
56.61,4.57,0.6751,2487.5,0.2,2714.8,0.4519
220.68,8.74,0.3252,2234.4,0.5,1495.6,0.2594
499.66,17.99,0.2486,2468.5,0.8,4327.8,0.3856
104.94,29.5,0.5891,2597.0,0.6,838.2,0.2572
69.62,8.26,0.1069,272.1,0.2,2666.1,0.3642
489.5,11.71,0.4727,2862.0,0.35,686.6,0.2862
375.05,16.46,-0.0407,904.2,0.7,3510.1,0.319
161.05,9.9,0.7436,1238.8,0.7,2891.4,0.2552
134.36,16.57,0.352,1937.5,0.35,2020.2,0.2568
438.66,18.19,0.388,1787.7,0.35,3657.4,0.1757
229.22,26.57,0.2582,283.7,0.6,1097.0,0.1635
134.27,33.13,0.2378,1776.0,0.8,3943.6,0.2572
447.08,30.49,-0.0541,1915.9,0.8,91.2,0.3896
228.26,39.67,0.3278,2987.5,0.7,4411.9,0.2603
150.93,34.98,0.7766,370.7,0.2,1259.4,0.0
82.76,15.85,0.2055,2128.4,0.5,2151.9,0.4364
45.6,3.81,0.1134,326.0,0.5,2602.0,0.5268
171.79,4.82,0.7603,2112.7,0.8,363.4,0.3354
191.53,29.23,0.0024,1008.7,0.45,694.3,0.2287
66.57,39.72,0.0429,1638.5,0.55,3055.5,0.3116
82.06,14.05,0.1131,2270.0,0.6,3084.2,0.3892
448.3,5.6,0.0232,2217.0,0.2,4816.6,0.3671
157.25,5.59,0.177,344.3,0.45,3897.1,0.2621
329.2,12.07,0.4177,1577.6,0.6,1484.8,0.2079
27.28,35.92,0.8547,1535.2,0.35,1213.0,0.3791
444.36,0.48,0.2611,1017.8,0.6,4305.5,0.3274
284.19,14.62,0.5829,2311.9,0.35,93.3,0.3567
19.91,2.42,0.6893,1569.2,0.6,2123.6,0.6205
201.14,25.62,0.4377,542.8,0.35,1556.4,0.1161
404.03,21.46,0.2907,1939.5,0.35,1557.7,0.2398
218.74,38.14,0.1386,809.0,0.6,588.8,0.1913
333.04,26.32,0.0756,136.7,0.7,3510.5,0.2183
81.92,38.12,0.423,2370.7,0.45,843.1,0.3274
134.38,35.46,0.6714,185.1,0.6,1367.2,0.1592
31.94,28.49,0.4767,323.5,0.8,2558.8,0.5128
83.44,6.29,0.6733,2693.4,0.35,1149.7,0.3836
254.41,1.76,0.7629,809.2,0.8,1826.2,0.2912
480.17,1.41,0.7031,2170.7,0.6,1130.3,0.3022
124.13,36.63,0.2199,2495.4,0.2,605.8,0.2107
111.59,20.63,-0.0541,1262.7,0.8,4331.5,0.2957
386.76,12.43,-0.0136,1424.6,0.2,1011.3,0.2635
311.36,18.56,0.4917,1530.7,0.5,3665.0,0.2114
273.28,31.84,0.0506,2804.0,0.55,1172.7,0.246
438.6,38.04,-0.0985,2006.2,0.45,528.7,0.3182
264.91,9.53,0.392,273.7,0.7,3561.1,0.3388
448.64,20.79,0.6008,1180.2,0.35,2908.0,0.2179
252.71,25.49,0.2944,1816.5,0.55,2180.6,0.2647
130.5,12.6,0.7008,2132.1,0.2,1597.1,0.2106
135.98,2.99,0.1027,2361.8,0.35,785.5,0.4021
203.26,21.44,0.8646,702.1,0.45,2322.1,0.1547
426.24,3.62,0.7076,982.2,0.55,1083.0,0.2641
355.58,38.74,0.2962,242.0,0.45,1308.2,0.1328
495.34,1.24,0.3044,1411.4,0.5,482.7,0.395
60.73,2.47,0.681,744.6,0.5,4120.1,0.4449
186.12,25.21,0.5447,1788.7,0.45,4588.0,0.3109
98.88,25.84,0.7093,366.7,0.2,621.4,0.1511
471.14,2.03,0.8241,1356.2,0.6,2485.7,0.2293
176.97,36.33,0.175,1393.4,0.7,182.9,0.3213
309.59,9.83,0.1951,1294.8,0.8,314.3,0.3665
99.73,35.39,0.4258,1929.2,0.55,4947.1,0.2207
390.96,14.36,0.4445,1505.6,0.2,1948.0,0.2367
109.51,35.83,0.6785,269.9,0.8,2651.9,0.1599
383.42,39.98,0.874,390.4,0.5,1340.0,0.105
27.95,39.86,0.1194,2554.9,0.6,1780.5,0.4808
419.61,33.81,0.0761,1818.3,0.2,4570.8,0.2725
473.78,22.54,0.4631,645.9,0.8,2715.2,0.2146
87.78,1.52,-0.0438,1844.8,0.55,2637.0,0.5395
100.73,5.22,0.6169,2764.5,0.2,307.2,0.3309
73.86,28.19,0.0417,421.7,0.2,4803.2,0.2105
197.8,4.04,0.2018,495.7,0.7,3664.4,0.3876
218.43,25.57,0.3872,1020.1,0.2,1124.0,0.1338
153.41,27.54,0.0273,2213.6,0.6,4255.3,0.2736
385.42,22.7,0.0821,1022.8,0.5,3201.8,0.2823
165.58,3.11,0.2468,1026.6,0.35,4110.1,0.332
335.01,29.17,0.2357,133.0,0.5,1255.2,0.1968
54.02,0.05,0.2859,2224.5,0.7,4423.9,0.5925
246.54,15.15,0.446,394.1,0.8,3945.8,0.1779
112.79,18.05,0.6992,196.9,0.55,1600.4,0.1281
475.83,2.97,0.0701,1188.8,0.35,2739.8,0.3514
297.02,24.55,0.3827,189.9,0.7,3040.5,0.1793
217.1,2.14,0.2311,2925.8,0.6,3489.0,0.4003
132.63,11.26,0.1375,243.9,0.8,776.4,0.2393
180.41,17.1,0.1945,2019.9,0.8,1006.4,0.3503
145.91,3.28,0.7438,994.2,0.6,2360.0,0.2558
447.44,10.6,0.5419,1223.8,0.2,4428.6,0.185
131.65,18.6,0.1262,878.8,0.55,764.1,0.29
348.24,3.87,0.5681,2443.7,0.6,4853.8,0.2902
420.4,32.74,0.3186,1653.0,0.8,2867.8,0.2012
117.82,11.95,0.2948,2576.4,0.55,2515.5,0.3923
338.77,24.81,0.0203,2295.8,0.7,4745.8,0.2727
83.58,8.48,0.0927,223.8,0.35,4941.5,0.2181
313.61,33.36,0.1579,2741.3,0.35,444.3,0.3164
