flood_probability,slope_norm,soil_stability,vegetation_density,wind_exposure,sun_score,buildability_score
0.2529,0.1282,0.3291,0.6408,0.12,0.8651,92.13
0.1324,0.0402,0.8987,0.7449,0.7313,0.8771,99.85
0.9594,0.5746,0.6563,0.7172,0.83,0.2626,52.1
0.107,0.2063,0.3011,0.7243,0.7856,1.0,89.07
0.6595,0.6803,0.5104,0.2015,0.6351,0.4395,60.61
0.3532,0.87,0.8007,0.6623,0.4899,1.0,73.53
0.4333,0.1586,0.747,0.8337,0.7483,0.7306,84.03
0.2038,0.1104,0.401,0.2834,0.1771,0.955,87.29
0.0653,0.4544,0.4122,0.2243,0.2009,1.0,91.11
0.8395,0.9635,0.3887,0.4804,0.4381,0.3724,47.95
0.3846,0.9865,0.5862,0.6419,0.1447,0.4954,64.45
0.3708,0.2548,0.2692,0.862,0.5165,0.5344,78.18
0.9572,0.1071,0.8291,0.2521,0.2443,1.0,70.57
0.9314,0.8559,0.6021,0.9244,0.9218,0.8252,50.4
0.9586,0.3274,0.6827,0.5539,0.568,0.2513,56.93
0.1934,0.1085,0.4144,0.7642,0.2512,0.9875,91.3
0.6698,0.9607,0.5957,0.3569,0.3799,0.8226,56.45
0.8903,0.3247,0.8005,0.3569,0.7589,0.7381,58.79
0.5624,0.6897,0.2722,0.8959,0.2313,1.0,70.01
0.205,0.4124,0.8972,0.0726,0.681,1.0,84.95
0.738,0.2185,0.2678,0.2565,0.9182,0.625,62.0
0.9913,0.643,0.8229,0.8931,0.0935,1.0,61.38
0.2503,0.5983,0.7225,0.9383,0.2412,0.6863,83.89
0.2771,0.167,0.7301,0.7287,0.9262,0.6988,91.43
0.8875,0.1001,0.5526,0.2293,0.5757,0.2501,60.74
0.6964,0.9347,0.7273,0.5563,0.1643,0.9273,66.97
0.6673,0.1925,0.7756,0.2342,0.0452,0.4144,74.2
0.8273,0.1976,0.4065,0.0613,0.4495,0.8171,69.14
0.7241,0.3666,0.7296,0.7611,0.8347,0.6458,67.86
0.6879,0.8336,0.3113,0.3781,0.1714,0.2822,57.76
0.4204,0.0848,0.3103,0.0732,0.4151,0.6484,84.07
0.6997,0.1662,0.6996,0.7137,0.8838,0.7366,74.84
0.9619,0.5856,0.431,0.4531,0.8288,0.7947,48.58
0.6605,0.2156,0.5143,0.1721,0.8367,0.658,65.5
0.9262,0.7983,0.7849,0.1963,0.2955,0.9582,59.5
0.4649,0.091,0.607,0.7966,0.1268,0.2993,83.04
0.8572,0.5601,0.4762,0.6497,0.7124,0.9986,55.41
0.0528,0.1798,0.8131,0.7989,0.2405,0.2965,99.49
0.0742,0.539,0.2585,0.5251,0.0935,0.4894,82.08
0.5489,0.8281,0.2308,0.4905,0.8379,0.3781,56.46
0.0894,0.1478,0.5096,0.4221,0.6339,0.3235,84.14
0.7601,0.4609,0.6769,0.9928,0.3377,0.2803,66.16
0.6649,0.0242,0.7667,0.0303,0.3225,0.9444,79.09
0.808,0.5858,0.2578,0.1904,0.9531,0.3401,49.41
0.3715,0.7875,0.7239,0.6049,0.7192,1.0,70.11
0.3128,0.6722,0.7563,0.504,0.2899,0.5178,79.55
0.1479,0.6681,0.578,0.2872,0.5222,0.954,85.3
0.1506,0.8244,0.4023,0.6217,0.0425,0.5978,82.92
0.0263,0.5992,0.202,0.2613,0.2456,0.5666,83.79
0.3415,0.3615,0.5611,0.53,0.4052,0.7661,82.12
0.2694,0.2278,0.4251,0.6613,0.3662,1.0,90.34
0.7851,0.3753,0.2293,0.7143,0.625,0.2986,59.07
0.856,0.5583,0.6327,0.7865,0.017,0.8224,68.55
0.6362,0.9386,0.8472,0.1848,0.0645,0.4955,63.27
0.3917,0.8349,0.287,0.5558,0.5293,0.2546,63.49
0.6256,0.2587,0.7999,0.1774,0.9484,0.7069,73.16
0.3781,0.7639,0.5698,0.0642,0.2678,0.392,66.98
0.0655,0.6966,0.6334,0.2952,0.1709,0.7738,84.05
0.4076,0.1586,0.3699,0.4198,0.717,0.5876,73.07
0.7252,0.5283,0.3497,0.3096,0.7783,0.3253,59.37
0.2916,0.9822,0.4729,0.3547,0.7503,0.9445,64.23
0.8663,0.0423,0.4823,0.2291,0.6758,0.5616,62.87
0.9592,0.9114,0.2163,0.0846,0.3773,0.6269,40.5
0.2798,0.2906,0.603,0.8147,0.5052,1.0,89.13
0.3684,0.5561,0.5507,0.1785,0.9823,0.5539,64.14
0.9725,0.4657,0.7822,0.0615,0.6883,0.2844,51.15
0.853,0.2388,0.8415,0.2089,0.765,0.5755,62.36
0.8285,0.2577,0.4206,0.7089,0.3947,0.4534,64.94
0.0946,0.5999,0.5683,0.7213,0.7874,0.749,84.76
0.6065,0.1986,0.6153,0.6309,0.198,0.4487,73.92
0.2257,0.8824,0.7984,0.7234,0.9562,1.0,77.89
0.6119,0.5049,0.7309,0.3274,0.3893,0.6732,66.64
0.5525,0.864,0.8243,0.0107,0.1848,1.0,68.18
0.9973,0.0294,0.2747,0.7786,0.112,0.3672,57.61
0.2444,0.3773,0.5306,0.7028,0.2639,0.51,80.78
0.979,0.1197,0.7073,0.4155,0.0031,0.8193,69.67
0.7921,0.1339,0.2406,0.3112,0.0709,0.3629,68.7
0.526,0.7719,0.4008,0.5392,0.2258,0.6139,60.3
0.5866,0.7565,0.4851,0.1706,0.723,1.0,63.07
0.6066,0.5059,0.2515,0.4513,0.3352,0.6334,71.66
0.6954,0.8573,0.4058,0.5197,0.4072,0.9349,63.22
0.8296,0.6305,0.7446,0.3375,0.4924,0.6125,53.58
0.0464,0.6937,0.2816,0.1288,0.7803,0.2665,75.95
0.0422,0.1929,0.8932,0.5203,0.2032,0.608,100
0.8712,0.0273,0.3078,0.4556,0.3204,0.9331,68.36
0.0999,0.1755,0.353,0.8975,0.3558,0.9993,94.25
0.572,0.4854,0.7932,0.4245,0.5614,1.0,73.73
0.6212,0.9839,0.782,0.2904,0.9631,0.3562,51.73
0.7938,0.9851,0.7462,0.3426,0.2374,1.0,61.39
0.9127,0.7367,0.57,0.4075,0.212,0.8414,54.93
0.1025,0.3706,0.6838,0.0181,0.8223,0.7151,84.06
0.9932,0.5808,0.2454,0.2893,0.5741,1.0,50.2
0.2552,0.8073,0.482,0.5979,0.5728,1.0,72.93
0.4207,0.6245,0.7656,0.8696,0.6568,1.0,74.35
0.746,0.6759,0.7328,0.8542,0.0897,0.7287,63.14
0.1452,0.7835,0.6055,0.6368,0.5688,0.3847,74.72
0.7723,0.8873,0.5986,0.7923,0.8568,1.0,55.32
0.8905,0.1084,0.7874,0.8071,0.223,0.9655,75.04
0.5639,0.9606,0.2383,0.6222,0.023,0.7614,59.32
0.155,0.6402,0.52,0.4177,0.8916,0.8384,79.6
0.5617,0.9947,0.3597,0.6067,0.3258,0.8573,63.19
0.9079,0.6502,0.829,0.5202,0.6573,0.7644,62.48
0.2847,0.0031,0.4413,0.4075,0.6636,1.0,89.72
0.9022,0.5663,0.5039,0.0299,0.8046,0.9687,49.36
0.5445,0.1466,0.6626,0.0935,0.5506,0.7752,79.73
0.3447,0.6304,0.8464,0.2166,0.5618,0.9913,82.92
0.8823,0.7665,0.7651,0.3137,0.3369,1.0,61.59
0.1202,0.8433,0.7441,0.3987,0.149,0.7886,84.33
0.2719,0.899,0.7982,0.8325,0.1642,0.9396,75.07
0.001,0.6677,0.5597,0.6004,0.9073,0.6068,84.3
0.9797,0.3872,0.3414,0.0812,0.1933,0.8109,56.71
0.8236,0.8233,0.2178,0.9453,0.3752,0.3013,50.29
0.6299,0.0732,0.7164,0.0543,0.4078,0.4124,72.98
0.6295,0.1959,0.6077,0.4433,0.4111,0.3817,71.84
0.2798,0.0168,0.5467,0.4427,0.2815,0.3988,86.39
0.7143,0.449,0.2978,0.4032,0.863,0.8654,58.76
0.5555,0.0921,0.8107,0.725,0.826,1.0,80.27
0.9231,0.982,0.5958,0.9325,0.0668,0.9629,62.82
0.6746,0.2628,0.8792,0.1984,0.4539,0.3318,70.94
0.1327,0.9314,0.4505,0.9306,0.2026,1.0,79.53
0.9272,0.4643,0.3434,0.9961,0.9076,0.8715,58.35
0.0786,0.1634,0.4659,0.2189,0.4219,1.0,96.96
0.4677,0.5461,0.8835,0.376,0.1904,0.6602,76.84
0.8914,0.5452,0.415,0.5926,0.726,0.4046,51.61
0.8641,0.294,0.2301,0.8175,0.4312,0.511,60.46
0.0529,0.4517,0.6774,0.832,0.3984,0.7397,98.63
0.7409,0.4997,0.5594,0.9152,0.0752,1.0,68.79
0.6391,0.8782,0.826,0.589,0.8273,0.3438,58.67
0.9737,0.1716,0.5823,0.7345,0.4913,0.9203,68.82
0.6065,0.2339,0.4982,0.8263,0.8747,0.7444,76.33
0.1772,0.6815,0.4229,0.0292,0.2289,0.9377,76.14
0.9598,0.0229,0.7499,0.5886,0.7192,0.643,61.71
0.4536,0.7001,0.4819,0.9382,0.2359,0.6213,63.94
0.7799,0.1465,0.7547,0.3651,0.0023,0.7456,80.05
0.1804,0.6292,0.4295,0.1592,0.9922,0.8722,78.14
0.6596,0.0148,0.4345,0.9889,0.9371,0.8795,74.03
0.0729,0.6513,0.8559,0.0728,0.5706,0.5501,84.15
0.3979,0.4567,0.6159,0.0394,0.5906,0.9582,75.87
0.609,0.2888,0.5827,0.0162,0.1583,1.0,78.71
0.0378,0.3309,0.2237,0.6052,0.7296,0.8571,80.48
0.5982,0.6914,0.5552,0.2919,0.13,1.0,67.07
0.3377,0.7354,0.5585,0.6295,0.6473,0.5099,67.51
0.4579,0.8103,0.839,0.6953,0.4414,0.5772,71.84
0.179,0.8952,0.4812,0.3905,0.196,0.955,78.28
0.6156,0.2749,0.7462,0.9635,0.0635,0.8255,80.76
0.9734,0.4949,0.5725,0.3845,0.1499,0.8217,62.13
0.7185,0.1539,0.7839,0.3201,0.5768,0.7027,70.41
0.7498,0.7905,0.5725,0.6816,0.0007,0.8399,61.6
0.3687,0.6955,0.8181,0.6636,0.8678,0.9426,70.44
0.3902,0.7277,0.4323,0.4566,0.0383,0.8669,78.2
0.1759,0.7465,0.7967,0.2683,0.1826,0.73,88.2
0.4607,0.3941,0.2982,0.8265,0.6114,0.4202,71.74
0.6835,0.7394,0.7927,0.7895,0.8303,0.4537,67.53
0.9406,0.5462,0.8311,0.5726,0.1031,0.6212,61.17
0.916,0.1866,0.733,0.7224,0.9322,0.4131,65.54
0.945,0.3891,0.878,0.1719,0.9461,0.4532,53.9
0.6079,0.6864,0.2716,0.8605,0.9396,0.3474,54.69
0.7106,0.3692,0.218,0.6458,0.5189,1.0,70.65
0.0156,0.3204,0.5414,0.6801,0.8249,0.4555,87.71
0.1942,0.6281,0.284,0.6754,0.5123,0.7789,80.31
0.4812,0.4842,0.2328,0.5215,0.7047,0.7835,68.38
0.2691,0.0377,0.787,0.2102,0.3076,0.5481,88.12
0.3278,0.1072,0.7103,0.3661,0.8861,0.9994,86.99
0.4759,0.8459,0.5672,0.2381,0.4263,1.0,75.17
0.2658,0.8466,0.688,0.6433,0.1091,1.0,83.15
0.7925,0.0352,0.4477,0.4566,0.6157,1.0,74.29
0.4729,0.0601,0.7128,0.1316,0.478,0.499,82.99
0.1298,0.8447,0.5687,0.8565,0.3483,0.3992,80.7
0.8091,0.8094,0.4997,0.0584,0.3245,0.9585,57.89
0.5064,0.7923,0.5148,0.4422,0.2987,0.4036,61.91
0.3373,0.7408,0.6685,0.5413,0.3395,0.7893,76.49
0.9645,0.7966,0.4221,0.7127,0.6136,0.413,51.7
0.9105,0.9676,0.7687,0.4281,0.3323,0.3748,54.42
0.851,0.8825,0.23,0.8016,0.3725,0.4604,48.27
0.9585,0.1311,0.8142,0.8831,0.8271,0.9827,65.89
0.8685,0.0692,0.2039,0.3399,0.0338,0.4371,62.62
0.1821,0.1004,0.4123,0.8511,0.5248,0.6011,87.77
0.5864,0.9951,0.5434,0.4996,0.8503,1.0,59.27
0.6373,0.4411,0.8646,0.6431,0.1497,0.2558,74.81
0.3663,0.5153,0.7171,0.1677,0.3688,0.4417,79.01
0.8054,0.1729,0.5804,0.8164,0.737,0.4246,64.8
0.0629,0.2002,0.3002,0.8412,0.0071,0.5295,97.62
0.0081,0.0899,0.3713,0.2624,0.1602,0.9077,100
0.4632,0.0242,0.3155,0.4717,0.5187,0.3298,72.23
0.8999,0.4801,0.4246,0.7468,0.3632,0.8254,62.02
0.4838,0.3789,0.8039,0.9421,0.3254,0.8171,77.0
0.6698,0.4536,0.8298,0.5538,0.7296,0.6098,67.24
0.5494,0.1817,0.5077,0.1209,0.4688,0.308,70.77
0.7872,0.7283,0.8481,0.6554,0.9666,1.0,58.06
0.9261,0.3258,0.3208,0.5766,0.5669,0.8136,58.78
0.9553,0.7328,0.7596,0.6572,0.5852,0.837,48.62
0.2363,0.5507,0.3655,0.1666,0.6533,0.8939,77.27
0.8945,0.2032,0.5892,0.3081,0.4179,0.6983,68.24
0.6446,0.7371,0.8178,0.2189,0.8082,0.5157,63.27
0.261,0.2539,0.7675,0.7749,0.6112,0.9146,88.37
0.1805,0.4468,0.7774,0.8606,0.4388,0.4212,87.21
0.0554,0.2465,0.8308,0.4685,0.527,0.7062,96.23
0.1125,0.4903,0.8268,0.3269,0.5796,0.7618,89.54
0.1492,0.8123,0.7269,0.0986,0.7932,0.614,73.72
0.7906,0.863,0.5836,0.1733,0.8834,0.4932,44.79
0.9397,0.8848,0.563,0.5059,0.5689,0.5702,46.21
0.2106,0.74,0.6935,0.3722,0.5143,0.4193,73.91
0.0609,0.8379,0.7254,0.9975,0.7686,0.4352,78.4
0.2781,0.3021,0.8458,0.6454,0.8147,1.0,86.1
0.0664,0.8352,0.3141,0.2101,0.728,1.0,76.69
0.8676,0.0228,0.3045,0.5772,0.7792,0.919,63.85
0.024,0.3028,0.5346,0.6538,0.7349,0.4268,87.81
0.6121,0.1963,0.2034,0.4156,0.4701,0.4429,67.44
0.9674,0.1452,0.2339,0.1509,0.1518,0.44,57.9
0.1181,0.6868,0.6903,0.4603,0.4666,0.8552,88.31
0.746,0.0892,0.2789,0.4027,0.1295,0.4156,70.55
0.121,0.7217,0.5125,0.723,0.6617,1.0,83.21
0.198,0.623,0.7108,0.037,0.5719,0.6455,71.54
0.3373,0.5361,0.6622,0.4553,0.8769,0.9937,77.54
0.7644,0.282,0.2703,0.2845,0.7898,0.8761,61.04
0.6253,0.1406,0.436,0.0087,0.6649,1.0,73.83
0.1288,0.84,0.614,0.7006,0.3667,1.0,85.4
0.7216,0.8396,0.2462,0.7421,0.6552,0.9882,57.77
0.5962,0.1282,0.6862,0.4966,0.0171,0.3391,82.83
0.9689,0.1187,0.3928,0.4239,0.359,0.5494,59.57
0.924,0.212,0.2189,0.9415,0.8881,0.9636,62.83
0.0256,0.9901,0.8511,0.4225,0.3618,0.3985,80.64
0.0603,0.5991,0.2431,0.7188,0.964,0.6453,82.86
0.862,0.0224,0.3597,0.1265,0.2814,0.8459,70.36
0.2611,0.8641,0.7794,0.6844,0.642,0.4534,71.69
0.7103,0.2855,0.3748,0.1247,0.6161,1.0,63.96
0.9142,0.6398,0.458,0.893,0.3083,0.3095,56.23
0.4428,0.6771,0.8986,0.372,0.4252,0.4081,71.75
0.1064,0.8368,0.3758,0.4342,0.1106,0.7587,84.08
0.7692,0.7973,0.5599,0.0387,0.0266,1.0,61.72
0.1004,0.3986,0.7344,0.09,0.1619,0.7233,87.12
0.5444,0.5169,0.7686,0.6702,0.4478,0.3858,75.85
0.9742,0.7043,0.5244,0.1955,0.0425,0.6652,53.93
0.2465,0.4619,0.3604,0.0797,0.0478,1.0,81.38
0.2755,0.3002,0.7607,0.175,0.7041,0.2727,82.21
0.5651,0.1817,0.5722,0.5281,0.3553,0.6404,75.16
0.0297,0.1205,0.2038,0.199,0.6711,1.0,93.2
0.2004,0.4026,0.7758,0.9195,0.4395,0.483,84.87
0.8232,0.0789,0.6096,0.5246,0.8307,0.8912,69.96
0.475,0.0321,0.8859,0.403,0.4256,0.5347,82.54
0.7551,0.7951,0.2354,0.5885,0.6665,0.364,54.05
0.2523,0.0196,0.6586,0.5856,0.5439,1.0,98.26
0.7573,0.8579,0.6418,0.2696,0.003,0.4785,59.87
0.9975,0.0658,0.7491,0.0423,0.6106,0.71,63.17
0.8301,0.8217,0.8505,0.395,0.6061,1.0,55.79
0.6389,0.648,0.3391,0.5903,0.6852,0.9959,60.68
0.2926,0.4109,0.4674,0.0996,0.2163,0.5128,81.66
0.0491,0.4799,0.3863,0.2333,0.1742,0.5455,88.69
0.967,0.6697,0.6166,0.5829,0.912,1.0,57.02
0.4461,0.0147,0.698,0.9111,0.1651,0.6449,93.86
0.0263,0.4673,0.5609,0.8198,0.5406,0.4072,88.04
0.089,0.0549,0.3109,0.6654,0.0274,0.9863,98.96
0.9309,0.9365,0.8606,0.7992,0.2352,0.8773,55.46
0.7509,0.5716,0.6168,0.885,0.78,0.6612,62.81
0.976,0.9625,0.7117,0.5375,0.626,1.0,50.55
0.9278,0.5082,0.7707,0.8514,0.9705,1.0,61.57
0.1382,0.7578,0.5159,0.8802,0.3561,0.7204,80.9
0.9271,0.5711,0.5082,0.5068,0.4377,0.2606,54.89
0.2595,0.0468,0.532,0.4733,0.0937,1.0,99.77
0.8421,0.3802,0.2596,0.5957,0.0915,0.844,66.03
0.891,0.6743,0.6133,0.7915,0.5999,0.6382,56.61
0.9038,0.1504,0.7083,0.3921,0.9433,0.8644,66.33
0.05,0.0431,0.4482,0.7134,0.2587,0.9746,97.54
0.7901,0.4235,0.4482,0.044,0.8996,0.8388,59.18
0.8938,0.6909,0.5907,0.3333,0.3774,0.3481,54.44
0.931,0.581,0.8013,0.6586,0.6412,0.4166,51.33
0.9262,0.702,0.3981,0.6098,0.3837,0.4779,46.52
0.2648,0.6118,0.2179,0.4531,0.3124,0.3094,76.75
0.1022,0.1423,0.8869,0.3556,0.76,1.0,96.42
0.4066,0.5426,0.2875,0.5025,0.5739,0.9736,74.15
0.5327,0.5018,0.6299,0.8803,0.1375,0.487,78.47
0.4795,0.9906,0.727,0.4452,0.5758,0.6395,62.63
0.2999,0.2145,0.7808,0.5865,0.7567,0.9144,86.46
0.3577,0.7555,0.6198,0.8149,0.9986,1.0,72.34
0.2133,0.7197,0.8261,0.3417,0.981,0.2901,71.18
0.2545,0.5563,0.2661,0.3325,0.8301,0.2701,73.11
0.2784,0.3021,0.3013,0.1246,0.0974,0.5414,87.03
0.0316,0.1932,0.4024,0.0283,0.5672,0.6186,94.25
0.4842,0.9116,0.7233,0.7724,0.1268,0.4871,70.75
0.5382,0.753,0.6413,0.5467,0.9564,0.9187,67.18
0.5512,0.0969,0.2557,0.2709,0.517,1.0,74.06
0.7873,0.8397,0.6358,0.9191,0.6266,1.0,55.61
0.5384,0.8048,0.3743,0.9753,0.3958,0.817,65.87
0.4403,0.9303,0.4668,0.3124,0.8925,0.3328,56.48
0.3136,0.6599,0.2775,0.6137,0.7224,0.8729,74.84
0.0586,0.6875,0.5344,0.3613,0.697,0.5997,79.62
0.0704,0.0786,0.6779,0.0619,0.8325,0.743,89.71
0.7713,0.8075,0.345,0.3144,0.4108,0.9002,58.33
0.2599,0.3724,0.2391,0.4855,0.0492,0.7946,86.8
0.6513,0.3011,0.2951,0.5304,0.5804,0.414,64.67
0.375,0.8652,0.7499,0.7406,0.5568,0.6487,74.31
0.4975,0.05,0.7524,0.2621,0.0144,0.9746,86.93
0.3642,0.7563,0.4379,0.8925,0.5712,0.9673,77.06
0.3085,0.3189,0.3545,0.7813,0.8053,0.2765,80.07
0.3695,0.7989,0.8131,0.7833,0.8543,0.419,73.99
0.4187,0.7006,0.2379,0.3965,0.334,0.8076,69.61
0.6948,0.6753,0.3122,0.1867,0.1749,0.5196,59.98
0.9633,0.7982,0.4997,0.8814,0.6939,0.6845,45.5
0.6133,0.3901,0.2726,0.1769,0.7091,0.3416,64.37
0.3725,0.9724,0.5524,0.9565,0.5334,0.724,68.54
0.7605,0.9794,0.2105,0.4746,0.5163,0.6131,49.73
0.711,0.9916,0.2895,0.8746,0.1729,0.7959,60.57
0.7856,0.0136,0.7613,0.4461,0.9942,0.6245,67.96
0.2631,0.1641,0.7684,0.0761,0.7304,1.0,91.2
0.2288,0.7597,0.5351,0.228,0.3457,0.7897,78.05
0.3859,0.7526,0.2337,0.5541,0.9737,0.8326,63.83
0.5141,0.3098,0.2864,0.5575,0.7512,0.7115,72.88
0.8786,0.362,0.7267,0.95,0.0471,0.8695,68.29
0.3674,0.6522,0.437,0.1456,0.1968,1.0,76.72
0.1114,0.9445,0.3079,0.7129,0.4474,0.9556,74.24
0.9772,0.6822,0.6346,0.8156,0.0849,0.6519,53.88
0.7736,0.7642,0.37,0.2935,0.6415,0.9304,54.37
0.8676,0.5551,0.4657,0.1697,0.0728,0.6852,58.99
0.7142,0.6551,0.2425,0.8468,0.6067,0.6048,58.56
0.329,0.6353,0.2232,0.6089,0.7928,0.4604,69.27
0.7192,0.503,0.3014,0.6241,0.2294,1.0,67.41
0.8578,0.8632,0.7515,0.7403,0.5147,0.9056,56.74
0.3963,0.4742,0.4006,0.905,0.8426,0.5666,74.05
0.9168,0.9555,0.3832,0.4275,0.8259,0.4427,43.73
0.5351,0.3616,0.2462,0.6028,0.2174,0.8959,74.44
0.6862,0.7557,0.7603,0.6695,0.2409,0.7961,66.09
0.1471,0.4565,0.5516,0.6611,0.8741,0.9241,86.23
0.4256,0.5863,0.5601,0.155,0.8867,0.883,66.06
0.0609,0.9932,0.4202,0.5788,0.1328,0.6894,79.05
0.1375,0.3768,0.2255,0.0895,0.7289,0.7984,84.15
0.7477,0.3813,0.3768,0.2678,0.9046,1.0,59.69
0.1627,0.2355,0.5976,0.1032,0.9758,1.0,83.05
0.6595,0.5,0.4743,0.8169,0.9437,0.7694,67.95
0.5147,0.0494,0.6047,0.9241,0.1678,0.361,82.83
0.8162,0.0149,0.361,0.889,0.0163,0.884,73.72
0.1146,0.91,0.5555,0.6314,0.6715,0.7616,79.32
0.802,0.4808,0.4704,0.0112,0.0836,0.5208,56.84
0.2888,0.9173,0.3647,0.553,0.9286,0.8457,71.14
0.6412,0.0851,0.5572,0.0474,0.4826,0.636,72.94
0.6415,0.195,0.4165,0.8664,0.5887,1.0,69.53
0.7901,0.0349,0.339,0.7731,0.0169,1.0,75.2
0.3701,0.8156,0.8604,0.9525,0.5883,0.6511,75.68
0.0745,0.0195,0.6823,0.4359,0.9724,0.8627,93.96
0.013,0.6473,0.8413,0.2991,0.0865,0.3328,89.1
0.8407,0.9931,0.3574,0.2822,0.8078,0.7465,48.55
0.9224,0.5915,0.7407,0.4694,0.5228,0.2638,56.01
0.773,0.7602,0.5009,0.5482,0.2942,0.3791,52.38
0.6218,0.1593,0.6249,0.7849,0.528,0.7449,76.13
0.558,0.52,0.6447,0.1183,0.5291,0.8753,66.56
0.0726,0.0306,0.762,0.4288,0.363,1.0,97.65
0.5693,0.8968,0.2164,0.5947,0.1265,1.0,68.42
0.764,0.3585,0.7945,0.6311,0.5773,1.0,75.16
0.1868,0.0147,0.8844,0.5533,0.0058,1.0,100
0.1392,0.0728,0.5227,0.3356,0.3144,1.0,94.33
0.4606,0.4569,0.6942,0.671,0.138,0.5221,73.9
0.0966,0.673,0.7843,0.5514,0.2803,0.8078,84.84
0.5922,0.94,0.505,0.177,0.1409,1.0,61.26
0.4493,0.8112,0.8171,0.9134,0.2643,0.9205,79.49
0.2664,0.1319,0.7763,0.3466,0.2936,0.6956,92.09
0.7795,0.1264,0.7914,0.1415,0.8446,0.5866,64.48
0.8305,0.7103,0.2126,0.7343,0.0634,0.616,62.67
0.41,0.9506,0.5216,0.2113,0.136,1.0,66.92
0.47,0.1776,0.3141,0.56,0.3281,0.911,80.67
0.089,0.5202,0.8617,0.8168,0.1828,0.8814,94.48
0.7171,0.2404,0.2954,0.4197,0.3895,1.0,74.78
0.3731,0.4815,0.2412,0.3514,0.5625,0.8898,71.65
0.9488,0.0915,0.6021,0.9747,0.6104,1.0,70.06
0.8163,0.0862,0.3302,0.0809,0.8801,0.9319,62.88
0.2274,0.8169,0.7558,0.0532,0.5695,0.433,73.56
0.4302,0.3139,0.2103,0.957,0.2564,0.8923,80.88
0.988,0.0866,0.5529,0.7852,0.5618,0.55,61.59
0.1408,0.5675,0.5278,0.5931,0.5731,1.0,90.65
0.4121,0.1315,0.38,0.9565,0.766,0.629,79.61
0.793,0.5147,0.2989,0.4741,0.8048,0.9934,51.27
0.0826,0.9017,0.7077,0.0707,0.2578,0.2916,74.48
0.6108,0.2218,0.3282,0.4683,0.2968,1.0,78.53
0.7837,0.7284,0.5065,0.524,0.8813,0.4718,53.6
0.5299,0.4056,0.3911,0.5457,0.0389,0.6435,73.57
0.1938,0.548,0.8928,0.9965,0.891,1.0,83.27
0.9677,0.3179,0.3595,0.9211,0.7978,0.8281,58.14
0.8498,0.4059,0.2965,0.0474,0.334,0.6584,55.67
0.0501,0.3601,0.6339,0.3524,0.3642,0.614,91.97
0.206,0.1828,0.7773,0.5941,0.5408,0.5555,90.14
0.4934,0.6998,0.7114,0.6661,0.6001,1.0,70.96
0.0997,0.0833,0.2701,0.7789,0.9414,0.3369,87.19
